real_concentration,pH,temperature,sensor_value
2,6,10,1.22979859
2,7,10,1.142651032
2,8,10,1.358747157
2,9,10,1.980114527
2,5,20,2.651190117
2,7,20,2.382452914
2,8,20,2.264014369
2,9,20,2.948080313
2,5,30,1.469263815
2,6,30,0.615308828
2,8,30,1.016673666
2,9,30,1.355038261
2,5,40,0.651140228
2,6,40,0.145236627
2,7,40,-0.09616688
2,9,40,0.735543821
2,5,50,2.900773109
2,6,50,2.394994986
2,7,50,1.667473395
2,8,50,2.373304524
3,5,10,2.946833652
3,6,10,2.66540572
3,7,10,2.839508155
3,8,10,2.876817136
3,5,20,3.339491212
3,6,20,4.381440364
3,7,20,2.989094554
3,9,20,3.895236185
3,5,30,1.923059138
3,6,30,1.475733698
3,8,30,1.852359053
3,9,30,2.339141923
3,5,40,1.635057325
3,7,40,1.219587287
3,8,40,1.494276708
3,9,40,2.173141064
3,6,50,2.734815761
3,7,50,1.845586667
3,8,50,2.724681736
3,9,50,3.148480834
4,6,10,4.650749338
4,7,10,5.631298509
4,8,10,5.2739418
4,9,10,5.883283993
4,5,20,3.895641865
4,7,20,3.976612469
4,8,20,3.973984583
4,9,20,3.976612469
4,5,30,2.928076286
4,6,30,2.635662439
4,8,30,2.73178499
4,9,30,2.915669665
4,5,40,1.806911889
4,6,40,1.579538234
4,7,40,1.705516113
4,9,40,1.917545393
4,5,50,3.363454023
4,6,50,2.948909523
4,7,50,2.464608536
4,8,50,3.637562174
5,6,10,6.295737652
5,7,10,6.699677004
5,8,10,6.671663798
5,9,10,6.833137367
5,5,20,6.533123382
5,7,20,6.243227755
5,8,20,6.331335844
5,9,20,6.414317198
5,5,30,7.46753869
5,6,30,5.984995443
5,8,30,6.268396961
5,9,30,6.870753431
5,5,40,5.542291842
5,6,40,5.186822114
5,7,40,5.598736648
5,9,40,5.500620518
5,5,50,7.040727513
5,6,50,6.474510811
5,7,50,6.649093706
5,8,50,6.468785626
6,5,10,6.508453158
6,6,10,6.335121019
6,7,10,6.258383053
6,8,10,6.277343379
6,5,20,7.172455081
6,6,20,6.423449049
6,7,20,6.173472632
6,9,20,6.6649182
6,5,30,6.435441327
6,6,30,6.311789081
6,8,30,6.883452576
6,9,30,6.897088219
6,5,40,6.211315237
6,7,40,5.820573289
6,8,40,5.855087611
6,9,40,5.878205087
6,6,50,6.557984591
6,7,50,5.973087643
6,8,50,6.405318733
6,9,50,6.460375155
